composition,target_ND300,target_NUD300,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,distance_to_training,feasible,anomaly_oxide,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,gan_rank
B2O3=12.48; BAO=0.58; Bi2O3=19.25; Li2O=1.00; NA2O=1.26; R2O3=33.84; R2O5=2.17; RO=4.48; RO2=9.39; SIO2=5.71; TIO2=7.09; ZNO=0.80; ZRO2=1.12,1.95,22.0,1.9857239723205566,21.36097526550293,5.306325359214146,477.6864013671875,0.0,uncertain,1.239892302519516,True,False,5.706713,0.0007375822,12.484769,0.06323966,0.19151957,1.2611731,0.0,1.0034043,8.4458144e-08,0.13602449,0.5783214,0.7960856,0.054322463,7.968749e-06,1.1201669,7.088834,0.0044333,19.245455,0.28990537,4.480793,0.09618318,33.836246,2.1681497,9.393522,1
B2O3=9.75; Bi2O3=11.06; FemOn=1.72; Li2O=1.37; NA2O=0.68; P2O5=0.67; R2O3=25.44; R2O5=7.43; RO=1.96; RO2=16.57; SIO2=5.37; TEO2=0.80; TIO2=10.73; WO3=2.55; ZRO2=3.03,2.0,22.0,1.9763749837875366,21.125993728637695,5.127673448676546,497.9869079589844,0.0,uncertain,2.0581888298827886,True,False,5.37461,0.0067197178,9.747162,0.018030267,0.17242387,0.67570317,0.0,1.3681048,1.3071467e-07,0.064694025,0.21281247,0.38888943,0.6725445,0.0042499066,3.0289176,10.734194,0.80314946,11.055293,2.5522168,1.9602987,1.7228717,25.437304,7.431087,16.568724,2
B2O3=10.18; R2O3=33.23; R2O5=30.93; RO2=1.49; SIO2=20.71; ZRO2=2.94,2.0,35.0,1.9633697271347046,35.02151107788086,4.237942118223599,591.9832153320312,0.0,uncertain,1.1497493877387734,True,False,20.713844,0.056727406,10.177713,2.4301886e-07,2.0374623e-07,8.365438e-06,0.0,0.00010983557,2.3169302e-07,0.000121185054,6.146756e-05,0.10128891,8.7517124e-05,0.0006939207,2.9444814,0.059831545,1.9429881e-15,7.263115e-05,0.20159677,0.08876579,6.864107e-08,33.23316,30.92824,1.4932,3
B2O3=12.27; R2O3=27.74; R2O5=20.25; RO2=18.95; SIO2=6.21; TIO2=5.30; WO3=1.49; ZRO2=7.31,2.05,30.0,1.9605019092559814,26.306291580200195,4.804826496105099,613.439453125,0.0,uncertain,1.367395719432338,True,False,6.2134776,0.014068414,12.268456,5.9085185e-05,6.174784e-05,0.00016667023,0.0,0.005480498,2.0109117e-06,0.012510136,0.00041531376,0.21179236,0.005763887,0.020504445,7.310026,5.300928,2.6720217e-08,0.01808243,1.4868393,0.18854341,0.00012860376,27.742609,20.250473,18.949621,4
B2O3=11.96; R2O3=31.13; R2O5=21.91; RO2=12.70; SIO2=8.28; TIO2=7.69; WO3=1.65; ZRO2=4.29,2.05,30.0,1.9604026079177856,27.086206436157227,4.879191646612336,565.8899536132812,0.0,uncertain,1.5560897962745244,True,False,8.276329,0.099035315,11.959448,0.00034906587,0.000454045,0.0002892023,0.0,0.035259314,3.1177717e-07,0.027993638,0.00052787,0.039566044,0.0034021304,0.0040649534,4.285006,7.6882772,3.4848924e-07,0.14399567,1.6502833,0.045646373,0.0020909067,31.128765,21.906834,12.702394,5
B2O3=12.16; R2O3=31.69; R2O5=25.26; RO2=12.44; SIO2=5.31; TIO2=1.88; WO3=2.43; ZRO2=8.58,2.05,30.0,1.9569281339645386,30.678699493408203,4.963404622123426,624.4530029296875,0.0,lanthanum,1.3265335910720721,True,False,5.312776,0.00071210694,12.164506,1.6753123e-07,1.7804149e-06,3.495372e-05,0.0,0.011278424,3.1107593e-08,0.00014629605,1.7383103e-05,0.11477375,0.00020790994,0.005454275,8.575093,1.8769456,3.1833005e-09,0.0067653214,2.4315276,0.12150903,1.318512e-06,31.685486,25.25674,12.436017,6
B2O3=6.43; R2O3=20.37; R2O5=31.58; RO2=19.60; SIO2=10.43; TIO2=5.32; WO3=1.62; ZRO2=4.62,2.05,35.0,1.955336570739746,26.148744583129883,4.839293845062118,587.7465209960938,0.0,uncertain,1.4869212557545501,True,False,10.426693,0.026769176,6.434895,8.97495e-09,1.6775323e-07,4.4427637e-08,0.0,0.00066113146,9.2698965e-10,2.3486873e-05,4.166551e-08,5.0547358e-05,7.253754e-07,0.0049508126,4.6197443,5.3235955,9.058574e-11,0.00020945085,1.6166611,4.240243e-05,5.5120502e-08,20.367859,31.579498,19.598343,7
B2O3=16.34; Bi2O3=15.15; Li2O=1.58; NA2O=4.13; R2O3=33.51; R2O5=4.22; RO=2.63; RO2=7.40; SIO2=5.37; TIO2=5.22; WO3=0.59; ZNO=0.61; ZRO2=2.02,1.95,22.0,1.9511810541152954,23.297832489013672,5.086714228938263,454.18023681640625,0.0,uncertain,1.6195168307008945,True,False,5.368186,0.00032509275,16.341782,0.004348747,0.101305746,4.1305466,0.0,1.5805185,5.3009963e-08,0.010099836,0.36572102,0.61179495,0.35896933,0.00047125877,2.0174,5.2153625,0.22301202,15.149029,0.5899756,2.6327243,0.16970246,33.50877,4.218756,7.401203,8
B2O3=10.95; R2O3=29.26; R2O5=19.89; RO2=12.39; SIO2=5.63; TIO2=3.82; WO3=12.61; ZRO2=5.16,2.05,30.0,1.9483115673065186,26.286985397338867,5.316592277746467,595.4864501953125,0.0,uncertain,1.7640441129665798,True,False,5.625612,0.015576258,10.951269,1.9350869e-06,0.000105264335,0.0003156809,0.0,0.04607353,6.2351715e-09,0.00012755828,0.00021691363,0.014179444,0.00032947495,0.094071515,5.158112,3.8234425,1.175363e-06,0.106073774,12.612188,0.015565509,8.1130165e-05,29.263243,19.886198,12.387216,9
B2O3=8.21; R2O3=23.12; R2O5=4.52; RO2=27.67; SIO2=7.54; TIO2=22.63; WO3=2.60; ZRO2=3.31,2.05,26.0,1.9474161863327026,26.15056037902832,4.822547006161661,616.6424560546875,0.0,heavy flint,1.3141012990733567,True,False,7.538549,0.0458974,8.209453,0.00021342866,0.0014390721,0.0031712782,0.0,0.09210464,1.5392036e-08,0.0018005117,0.007029464,0.028954085,0.0029410084,0.041062433,3.3062496,22.6301,0.013081543,0.1034082,2.597931,0.052406073,0.019768542,23.1158,4.5227475,27.665897,10
B2O3=7.53; R2O3=22.53; R2O5=14.08; RO2=23.16; SIO2=13.41; TIO2=8.44; WO3=4.04; ZRO2=6.70,2.05,35.0,1.9470354318618774,26.04242515563965,5.046605210865025,632.451904296875,0.0,uncertain,1.4713955167501076,True,False,13.412767,0.0045335656,7.5336046,3.6733292e-07,4.5246866e-06,1.7117225e-05,0.0,0.023045423,4.884977e-08,5.909952e-05,2.7460459e-05,0.009895321,7.979569e-06,0.048819743,6.703148,8.442562,1.393867e-06,0.0018060745,4.0379763,0.010600177,3.2763517e-06,22.527426,14.07912,23.164576,11
B2O3=12.64; R2O3=25.57; R2O5=20.36; RO=0.79; RO2=17.08; SIO2=8.62; TIO2=4.80; WO3=1.21; ZNO=0.88; ZRO2=7.85,2.0,30.0,1.9461719989776611,26.425533294677734,4.831904222131034,617.4923095703125,0.0,uncertain,1.2743884214575243,True,False,8.621681,0.024384696,12.64368,0.00038818826,0.0001583219,0.00070010417,0.0,0.011959029,1.1368841e-05,0.072055906,0.0014222049,0.88474715,0.020045443,0.012496457,7.848499,4.803975,6.199705e-08,0.050108735,1.208663,0.7890706,0.0008020207,25.569948,20.35557,17.079632,12
B2O3=9.44; R2O3=23.53; R2O5=4.59; RO=0.59; RO2=25.21; SIO2=7.27; TIO2=22.25; WO3=1.30; ZNO=0.52; ZRO2=5.02,2.05,30.0,1.9458138942718506,26.33881950378418,4.751017726667305,630.4612426757812,0.0,heavy flint,1.1639138468546646,True,False,7.2696047,0.0064952183,9.442002,0.0016891161,0.0020185173,0.0061020716,0.0,0.10211799,6.0692423e-06,0.0073594996,0.016147807,0.5175264,0.0033031637,0.059381384,5.0186253,22.249363,0.016790055,0.050067034,1.3048596,0.5949908,0.005130106,23.525406,4.592417,25.2086,13
B2O3=5.57; R2O3=23.40; R2O5=5.63; RO2=21.29; SIO2=14.64; TIO2=22.69; WO3=1.58; ZRO2=4.61,2.05,30.0,1.945529818534851,27.04136848449707,4.918636386031231,629.4754028320312,0.0,heavy flint,1.2216932770804378,True,False,14.638467,0.0033558342,5.5713735,1.5188047e-06,3.023514e-05,0.0014644413,0.0,0.14650972,7.206048e-10,0.003092621,0.00018587871,0.1767173,1.0885824e-05,0.00026909664,4.613522,22.686949,0.000112116904,0.105234146,1.5804651,0.14882791,0.0033927436,23.402735,5.6278324,21.28945,14
B2O3=10.30; GEO2=2.31; R2O3=28.20; R2O5=9.95; RO2=20.33; SIO2=6.26; TIO2=6.87; WO3=8.32; ZRO2=6.63,2.05,26.0,1.9453425407409668,29.873464584350586,5.144138419261629,617.1746826171875,0.0,lanthanum,1.498906050671233,True,False,6.261452,0.010757188,10.295046,7.805257e-06,0.000104454906,0.0026904307,0.0,0.08888657,5.0044573e-08,0.00021749022,0.007704749,0.35550576,0.002072736,2.314526,6.6348696,6.8675175,0.00021700498,0.035888374,8.324332,0.31358838,0.0024777728,28.197142,9.952427,20.332567,15
B2O3=8.90; R2O3=23.28; R2O5=4.63; RO2=24.57; SIO2=5.35; TIO2=24.73; WO3=2.75; ZRO2=4.99,2.05,35.0,1.9450862407684326,27.212570190429688,4.8765683743392785,634.7220458984375,0.0,heavy flint,1.270420562759591,True,False,5.353984,0.00016439226,8.900745,4.0727577e-06,3.9667906e-05,0.002026572,0.0,0.17736748,8.762253e-09,6.446762e-05,0.001103457,0.22343248,0.00026670727,0.12017375,4.9875193,24.726604,0.0280887,0.019737057,2.7517276,0.2237438,0.00052165583,23.281822,4.6299314,24.570932,16
